19,"",7.8,C-High,10.12.158.1,TCP,443,Apache HTTP Server Byte Range DoS,"","","","","",""
41,"",5,B-Medium,10.12.161.15,UDP,19,Chargen UDP Service Remote DoS,"","","","","",""
10,"",10,D-Critical,10.12.159.200,TCP,22,Dropbear SSH Server < 2016.72 Multiple Vulnerabilities,"","","","","",""
17,"",7.8,C-High,10.112.57.120,TCP,9100,HP LaserJet PJL Interface Directory Traversal,"","","","","",""
14,"",10,D-Critical,10.112.57.120,TCP,9100,HP Printer multiple outdated firmware vulnerabilities,"","","","","",""
1,"",10,D-Critical,10.12.158.100,TCP,2381,HP System Management Multiple Vulnerabilities (Version < 7.6),"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
18,"",7.8,C-High,10.12.159.139,UDP,623,IPMI v2.0 Password Hash Disclosure,"","","","","",""
46,"",4,B-Medium,10.12.200.22,TCP,22,Insecure SSH Protocol Version,"","","","","",""
33,"",5,B-Medium,10.12.158.1,TCP,443,Insecure SSL Version in Use,"","","","","",""
42,"",5,B-Medium,10.12.159.145,UDP,500,Internet Key Exchange (IKE) Aggressive Mode with Pre-Shared Key,"","","","","",""
35,"",5,B-Medium,10.12.200.8,TCP,389,LDAP NULL BASE Search Access,"","","","","",""
9,"",10,D-Critical,10.12.158.20,TCP,5111,Lexmark Markvision Enterprise Java Object Deserialization RCE,"","","","","",""
8,"",10,D-Critical,10.12.161.14,TCP,445,MS09-050: Microsoft Windows SMB2 _Smb2ValidateProviderCallback() Vulnerability,"","","","","",""
7,"",10,D-Critical,10.112.13.17,TCP,21,MS11-004: Vulnerability in Internet Information Services (IIS) FTP Service Could A Remote Code Execution,"","","","","",""
7,"",10,D-Critical,10.112.13.17,TCP,21,MS11-004: Vulnerability in Internet Information Services (IIS) FTP Service Could A Remote Code Execution,"","","","","",""
